Timestamp;scop_exciting_gy;scop_exciting_signal
1448075;-62;15
1449078;-31;-1
1450079;-1;-20
1451077;13;-43
1452079;-1;-65
1453076;-1;-90
1454121;-1;-113
1455075;13;-140
1456077;29;-168
1457080;59;-200
1458076;90;-231
1459079;105;-265
1460075;74;-293
1461078;44;-321
1462079;29;-348
1463075;-1;-373
1464331;-31;-395
1465080;-47;-418
1466076;-62;-440
1467078;-62;-462
1468079;-123;-475
1469076;-154;-488
1470076;-199;-495
1471078;-215;-504
1472079;-245;-509
1473075;-276;-512
1474076;-337;-508
1475078;-382;-501
1476091;-382;-496
1477076;-382;-491
1478078;-398;-485
1479079;-444;-474
1480076;-459;-463
1481076;-459;-452
1482078;-444;-443
1483079;-444;-432
1484075;-459;-420
1485085;-474;-408
1486089;-474;-398
1487079;-505;-385
1488076;-474;-375
1489077;-474;-367
1490079;-428;-364
1491079;-398;-363
1492076;-398;-361
1493076;-382;-360
1494078;-398;-360
1495093;-367;-360
1496091;-306;-367
1497076;-276;-376
1498078;-260;-386
1499079;-260;-397
1500076;-245;-407
1501076;-215;-421
1502078;-199;-434
1503079;-199;-448
1504075;-184;-462
1505076;-154;-479
1506089;-108;-496
1507079;-92;-516
1508076;-77;-534
1509078;-92;-552
1510075;-92;-568
1511076;-108;-585
1512079;-108;-598
1513080;-123;-611
1514077;-154;-620
1515095;-169;-628
1516091;-184;-634
1517076;-169;-641
1518080;-169;-647
1519076;-199;-651
1520078;-230;-651
1521075;-230;-651
1522077;-230;-650
1523079;-245;-649
1524076;-260;-647
1525078;-245;-645
1526089;-245;-643
1527075;-245;-641
1528077;-260;-638
1529076;-276;9998
1530078;-245;9998
1531079;-215;9998
1532075;-215;9998
1533076;-276;9998
1534078;-1;9998
1535078;594;9998
1536091;1479;9998
1537076;2380;9998
1538078;3112;9998
1539078;4028;9998
1540075;5005;9998
1541076;6059;9998
1542078;6807;9998
1543078;7478;9998
1544075;8272;9998
1545076;9127;9998
1546090;9814;9998
1547075;10119;9998
1548078;10486;9998
1549078;10944;9998
1550080;11432;9998
1551076;11600;9998
1552077;11585;9998
1553078;11615;9998
1554080;11722;9998
1555075;11798;9998
1556077;11631;9998
1557092;11432;9998
1558077;11249;9998
1559079;11173;9998
1560080;11005;9998
1561076;10684;9998
1562077;10425;9998
1563078;10241;9998
